cook-time,cuisine,diet,difficulty,directions,dish-name,ingredients,link,description,picture,prep-time,rating
25 mins,caribbean,['Vegetarian'], Easy ,"Heat oven to 220C/200C fan/gas 7. Heat the oil in a frying pan, then soften the onion and chilli for a few mins. Stir in the tomatoes, tomato sauce and allspice. Bubble for 1 min, then remove from the heat.
Take a large ovenproof dish or plate and pile on the tortilla chips. Cover with the tomato sauce, then sprinkle with the sliced jalapeños and mozzarella.
Place in oven for about 15 mins until cheese is melted. Scatter with coriander. Serve with guacamole and soured cream on the side.",Reggae reggae nachos,"['2 tsp olive oil', '1 red onion, diced', '½ Scotch bonnet chilli, deseeded and finely chopped', '400g can chopped tomato', '½ x 295g bottle Levi Roots Love Apple Tomato sauce or tomato sauce with a good splash Tabasco', '½ tsp allspice', '2 x 200g bags tortilla chip', '200g jar sliced jalapeno chilli', '2 x 125g balls mozzarella, torn', 'small handful coriander, chopped', '230g tub fresh guacamole', '½ x 300ml pot soured cream']",https://www.bbcgoodfood.com/recipes/11745/reggae-reggae-nachos,"These nachos are a great crowd-pleaser, perfect for sharing with friends over a cocktail",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--47753_11.jpg?itok=g-qiGrya,15 mins,4
20 mins,caribbean,"['Freezable', 'Vegetarian']", Easy ,"Heat the oil in a large saucepan. Sizzle the spring onion whites, pepper, chilli paste and garlic for 5-8 mins until soft and fragrant. Add the thyme, curry powder and spices, then cook for 1 min more, Stir in the tomatoes, then cook for 2 mins to soften slightly.
Crumble in the stock cube, then tip in all the beans and the coconut milk. Simmer for 10 mins. Turn off the heat and stir in most of the spring onion greens, the lime juice and some seasoning. Ladle into bowls and scatter with remaining spring onions just before serving.",Simple coconut & bean soup,"['1 tbsp sunflower oil', '½ bunch spring onions, whites and greens separated and sliced', '1 red pepper, diced', '1 Scotch bonnet chilli, deseeded and pounded to a paste', '1 garlic clove, chopped', '1 tsp dried thyme', '1 tsp medium curry powder', '1 tsp allspice', '3 plum tomatoes, chopped', '1 vegetable stock cube', '410g can kidney bean, rinsed and drained', '410g can pinto bean, rinsed and drained', '410g can black-eyed bean, rinsed and drained', '2 x 400g cans coconut milk', 'juice 2 limes']",https://www.bbcgoodfood.com/recipes/11741/simple-coconut-and-bean-soup-,This vegetarian meal in a bowl shows how something delicious can be made from mostly storecupboard ingredients,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--47743_10.jpg?itok=xBlpZi01,10 mins,5
none,caribbean,['Easily doubled'], Easy ,"Pour the juice and scatter the zest of the first lime into a shallow dish big enough to fit the fish in one layer. Swirl the juice around so it covers the entire surface of the dish. Lay the fish on top and pour over the lemon juice.
Strip the thyme leaves off the stalks and crush them with a pinch of salt and the white pepper using a pestle and mortar to make a rough paste. Tip the thyme paste over the fish and gently massage it in, taking care not to break up the flesh at all. Pour the rum over and give it one last rub. Cover and leave to marinate out of the fridge for about 1 hour.
Heat the oil in a wide shallow pan with a lid. Throw in the onion rings and cook for 4-5 minutes until they begin to soften. Tip the coriander, garlic, tomato slices and sugar in with the onions, stir and cook for about 3-4 minutes until the tomatoes begin to release their juices and everything smells sweet.
Lift the fish from its marinade and nestle it in the pan among the onions and tomatoes. Pour over the marinade, 3 tbsp of water and the Angostura bitters, if you are using it.
Cover the pan and gently cook for 6-8 minutes until the fish flakes easily and the onions are softened but still have some bite to them. Season with salt and pepper. The authentic Trinidadian dish is tangy-sweet with lots of thyme flavour and very limey, so taste the sauce and if you want more tang, squeeze over the remaining lime. Serve with basmati rice or boiled potatoes and steamed vegetables.",Natalie's Trinidadian fish stew,"['2 limes, juice and grated zest of 1, the other halved for serving', '1 skinned white fish fillets, such as cod or hoki, about 175-200g/6-8oz each', '2 lemons, juice only', '2 x 15g packets fresh thyme (you need a lot for the aroma)', '¼ tsp white pepper', '1 tbsp dark rum', '3 tbsp vegetable oil', '1 onion, cut into thin rings', 'a handful of fresh coriander, chopped', '2 garlic cloves, chopped', '1 beefsteak or 3 normal tomatoes, sliced', '2 tsp dark muscovado sugar', 'shake of Angostura bitters, optional', 'basmati rice or boiled potatoes and steamed vegetables, to serve']",https://www.bbcgoodfood.com/recipes/2022/natalies-trinidadian-fish-stew,This dish of Caribbean sunshine is perfect for sharing with friend - make sure you marinate the fish in lemon and lime to get a really zingy taste,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1992_11.jpg?itok=Yim05qi0,none,4
45 mins,caribbean,"['Vegetarian', 'Vegan']", Easy ,"Peel the sweet potatoes and cut crossways into slices 2.5cm thick. Lay each potato on a large sheet of foil, keeping the slices together.
Drizzle each potato with the olive oil, sprinkle with the thyme leaves, about half of the chopped chilli and season with plenty of salt and pepper. With your hands, massage the flavourings into each slice. Replace the slices in their original positions. Lay a thyme sprig across the top of each potato and sprinkle with the remaining chilli. Wrap the foil securely round the potatoes to make two parcels. (You can prepare to this stage up to 24 hours ahead.)
Put the foil parcels on the rack over the hottest part of the barbecue and cook for 45 minutes until the potatoes are buttery and softened. (Unwrap and test with the point of a knife to check if they’re ready).",Hot & spicy sweet potatoes,"['2 large sweet potatoes (about 500g/1lb 4oz each)', '4 tbsp olive oil', '2 tbsp fresh thyme leaves, plus 2 sprigs of fresh thyme', '1 red scotch bonnet chilli, seeded and finely chopped']",https://www.bbcgoodfood.com/recipes/1857/hot-and-spicy-sweet-potatoes,Tantalise your buds with hot and spicy sweet potatoes,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1201703_11.jpg?itok=5tLA11_3,15 mins,4
30 mins,caribbean,['Vegetarian'], Easy ,"Peel the plantains and cut them crossways into slices 2.5cm thick. Lay each plantain on a large sheet of foil, keeping the slices together so they stay in their original shape.
Smear each plaintain with the butter (or dot it over if it’s hard) and sprinkle with the sugar. Make a gondola shape round each plantain with the foil, then pour over the orange juice and grind salt and pepper on top. Wrap the foil completely round the plantains so they’re securely sealed inside. (You can prepare to this stage up to 24 hours ahead.)
Put the foil parcels on the barbecue rack and cook for 30 minutes until the plantains are softened (to check if they’re ready, open a parcel and test with the point of a knife).",Barbecued plantains,"['2 ripe plantains - the skins must be black', '2 tbsp butter', '2 tbsp demerara sugar', '8 tbsp freshly squeezed orange juice']",https://www.bbcgoodfood.com/recipes/1856/pippas-perfect-plantains,Cook perfect plantains by wrapping them in foil and barbecuing them. This Latin American relative of the banana is delicious in sweet and savoury dishes.,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1662_12.jpg?itok=u4aKptSM,10 mins,5
10 mins,caribbean,['Freezable'], Easy ,"Half fill the kettle and put on to boil.Warm the oil in a large nonstick frying pan over a low heat while you tip the jerk sauce into a shallow dish and use to coat the pork steaks on both sides. Place them in the hot oil (reserve the sauce left in the bowl) and turn up the heat. Fry for 4 minutes on each side until cooked and richly glazed.
While the pork is frying, pour 150ml/1⁄4 pint of boiling water into a medium pan over a high heat and crumble in the stock cube and creamed coconut. Trim and slice the spring onions, holding them together as a bunch so you can chop them all in one go. Add to the pan, give a quick stir, then tip in the rice and beans. Stir and heat gently, breaking down any clumps of rice with a spoon. If the rice looks a little dry, add an extra splash of water.
Tip the remaining sauce into the pan to heat through with the pork. Pile the rice onto plates, top with the pork and spoon the pan juices over.",Jerk pork with rice & beans,"['1 tbsp olive oil', '3 tbsp Jamaican jerk sauce', '4 small boneless pork loin steaks about 500g/1lb 2oz in total', '1 chicken stock cube', '50g creamed coconut (from a block)', '1 bunch salad onions', '2 x 250g packets Rizzazz pure basmati rice (ready cooked rice in a vacuum-pack)', '410g can red kidney beans, drained']",https://www.bbcgoodfood.com/recipes/1180/jerk-pork-with-rice-and-beans,"A speedy version of a Jamaican pork jerk favourite - loads of flavour, not too spicy",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--421_11.jpg?itok=sP8lPITc,none,5
30 mins,caribbean,no info, Easy ,"Tip the ribs into a big bowl (not a metal one) and throw in the spring onions, chilli and garlic. Now spoon all the remaining ingredients over the ribs and sprinkle with salt and pepper. Get your hands in the bowl and turn the ribs over and over again until they’re coated in the sauce. (You can keep the ribs uncooked – tightly covered – in the fridge for up to 3 days. You can also freeze them for several months.)
Cook the ribs over a moderate barbecue for 20-30 minutes depending on their size, turning them over frequently and brushing with sauce each time. The turning and brushing is important, so that all four sides of each rib get encrusted with the sauce, which builds up like a lacquer. If you have any leftover sauce at the end, heat it up in a pan and pour it over the ribs just before serving.",Sizzling spare ribs with BBQ sauce,"['4 x 500g packs pork spare ribs', '1 bunch of spring onions, roughly chopped (green stems and all)', '1 Scotch bonnet chilli, seeded and finely chopped', '4 garlic cloves, roughly chopped', '6 tbsp Appleton rum', '6 tbsp demerara sugar', '6 tbsp dark soy sauce', '6 tbsp clear honey', '6 tsp Dijon mustard', '1 tsp ground allspice']",https://www.bbcgoodfood.com/recipes/1854/sizzling-spare-ribs-with-bbq-sauce,"Some like it hot, so sizzle your ribs with BBQ sauce",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--963455_10.jpg?itok=coIpEmmk,5 mins,5
20 mins,caribbean,['Healthy'], Easy ,"Dry-fry the pumpkin seeds in a frying pan for a few minutes, tossing and turning them until they look toasted. Tip them out of the pan and let them go cold. Peel the papayas, halve them lengthways and scoop out the seeds. Cut the flesh into long, thin slices. Halve the avocados and remove the stones, then peel off the skin and slice the flesh lengthways into thin slices.
Put the papayas, avocados, pumpkin seeds and watercress into a large bowl. Chop about 1 tbsp of the mint leaves and set aside. Pick the remaining leaves from the stalks and tear them into the bowl.
Mix the lime juice and olive oil with the rest of the chopped mint to make a dressing, and season with salt and pepper to taste. Pour over the salad and gently mix all the ingredients together with your hands. Taste and add more salt and pepper if you think it needs it, then transfer to a serving platter.",Exotic avocado salad,"['2 tbsp pumpkin seeds', '1 ripe papaya', '1 ripe avocado', '50g bag trimmed and washed watercress', 'half small pack fresh mint', 'juice of half lime', '1 tbsp olive oil']",https://www.bbcgoodfood.com/recipes/1855/exotic-avocado-salad,"Savour sharp, sweet flavours in this exotic avocado salad",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--381451_12.jpg?itok=bbI0fd5H,none,4
7 hrs,caribbean,['leftover pork only'], Easy ,"The day before, mix the sea salt and 200g of the sugar in a large food bag. Add the pork and coat it well, then leave it in the fridge overnight.
The next day, remove the pork and wipe the meat down with kitchen paper to remove any excess sugar or salt. Rub 3 tbsp of the jerk spices all over and sit the meat on a rack, in a roasting tin. Leave to marinate a little in the fridge, then 30 mins before you start cooking, bring it out to room temperature.
Heat oven to 140C/120C fan/gas 1. Mix together the remaining 100g sugar with the pineapple juice, the remaining jerk spices and treacle, and rub half over the pork. Pour the other half into the tin and roast for 6 hrs. Baste the meat with the juices and roast for 1 hr more until the outside is charred and the inside tender. Rest the pork on a platter for 20 mins and pour any juices from the tin into a fat-separating jug.
Put the diced banana in a bowl with the onion. Stone, peel and dice the avocados and add these, too. Mix in the lemon and lime juice, chillies, coriander stalks and leaves, and some seasoning.
Heat the black beans in a microwave, and warm the tortillas following pack instructions. Add a couple of forks to the pork for shredding, discard the fat from the tin juices, and serve the rest alongside for pouring. Serve the pork with the wraps, beans, banana salsa, yogurt and shredded lettuce, if you like.",Jerk pulled pork with banana salsa,"['200g sea salt', '300g dark muscovado sugar', '2kg piece boned shoulder of pork, trimmed of rind, but leave fat', '4 tbsp jerk seasoning (we used Bart), mixed with 2 tsp ground cinnamon', '150ml pineapple juice', '50g treacle', '2 x 400g cans black beans, drained and rinsed well', 'lots of soft flour tortillas (2-3 per person depending on size and appetites)', 'big pot of natural yogurt and shredded lettuce, to serve (optional)', '3 medium bananas, firm to ripe, peeled and cut into 1cm cubes', '1 red onion, finely diced', '2 just-ripe avocados', 'juice 1 lemon', 'juice 2 limes', '1-2 red chillies, deseeded and diced', 'small pack coriander, stalks finely chopped, leaves roughly chopped']",https://www.bbcgoodfood.com/recipes/jerk-pulled-pork-banana-salsa,The perfect party sharing dish is spiced up with Caribbean seasoning and served with a fruity coarse salsa,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pulled-pork.jpg?itok=uDXnhK-M,1 hr,5
none,caribbean,no info, Easy ,"Stir the prawns and jerk paste together in a bowl and set aside. Mix together the dressing ingredients.
Tip the beans into a bowl along with the mango, onion, cucumber, most of the coriander, the dressing and some seasoning. Warm the taco shells following pack instructions.
Heat the oil in a large frying pan, add the prawns and cook for 2-3 mins or until cooked through.
To build the tacos, start with a handful of lettuce, followed by the bean salad, then top with the prawns. Sprinkle over the remaining coriander and serve.",Spicy jerk prawn & mango tacos with coconut dressing,"['300g raw peeled king prawn', '1½ tbsp Jamaican jerk paste', '400g can black bean, drained and rinsed', '1 large mango, stoned, peeled and diced', '½ red onion, sliced', '½ cucumber, chopped', 'bunch coriander, leaves roughly chopped', '8 taco shells', '½ tbsp vegetable oil', '2 Little Gem lettuces, shredded', '165ml can coconut milk', 'zest and juice 1 lime', '2 pinches of sugar']",https://www.bbcgoodfood.com/recipe/spicy-jerk-prawn-mango-tacos-coconut-dressing,"Use Caribbean-style jerk paste to marinade shellfish, then serve in crunchy corn tacos with a textured salad and light sauce",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/tacos.jpg?itok=X_szO_cX,none,5
