cook-time,diet,difficulty,directions,dish-name,ingredients,link,description,picture,prep-time,rating
12 mins,['Vegetarian'], Easy ,"Cook the beans in a pan of boiling water for 3 mins until just tender, adding the chickpeas for the final min of cooking. Meanwhile, make the dressing: in a large bowl, whisk the lime juice and zest with 3 tbsp of the oil and the chilli. Season. Drain the chickpeas and beans and, while warm, toss with the dressing.
Pour boiling water over the red onion, leave for 5 mins to soften, then drain and rinse. Add the peppers, tomatoes, rocket, parsley and softened onion to the bean bowl. Toss to coat everything in the dressing, then divide between 2 plates.
Heat the remaining oil in a frying pan, add the halloumi slices and fry for about 1 min on each side until golden. Place a few warm halloumi slices on top of each salad and serve.","Warm halloumi, chickpea & lime salad","['100g green bean, trimmed', '400g can chickpea, drained and rinsed', 'zest and juice 1 lime', '4 tbsp extra-virgin olive oil', '½ red chilli, deseeded and finely sliced', '½ red onion, sliced into thin wedges', '2 ready-roasted peppers from a jar, drained and sliced', '100g cherry tomato, halved', 'large handful rocket', 'small bunch parsley, chopped', '140g halloumi cheese, sliced']",https://www.bbcgoodfood.com/recipes/2410640/warm-halloumi-chickpea-and-lime-salad,"Rustle up a quick salad for two with green beans, chickpeas and tomatoes, topped with decadent fried cheese",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1066551_11.jpg?itok=jhmCcyxh,10 mins,4
15 mins,"['Vegetarian', 'Healthy']", Easy ,"Heat the oil in a large saucepan, add the garlic and cook for 2 mins until golden. Add the chilli flakes and tomatoes, season well, and simmer for 15 mins until the sauce is thick and reduced.
While the sauce is cooking, cook the pasta following pack instructions – add the kale for the final 2 mins of cooking. Drain well and stir into the sauce, then divide between 4 bowls. Top each with a dollop of ricotta, a drizzle of pesto and shavings of Parmesan, if you like.","Cherry tomato, kale, ricotta & pesto pasta","['2 tbsp olive oil', '3 garlic cloves, chopped', '1 tsp crushed chilli flakes', '2 x 400g cans cherry tomatoes', '500g penne', '200g kale, chopped', '4 tbsp ricotta', '4 tbsp fresh pesto', 'parmesan or vegetarian alternative, to serve (optional)']",https://www.bbcgoodfood.com/recipes/2472637/cherry-tomato-kale-ricotta-and-pesto-pasta,Fresh basil sauce and cherry tomatoes give this healthy dish a beautiful colour - it's also full of fibre and vitamin C,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1096483_12.jpg?itok=k206NqAN,10 mins,4
15 mins,['Vegetarian'], Easy ,"Mix the harissa and vinegar in a bowl. Remove half and reserve. Toss the aubergine in the remaining harissa sauce and season. Thread onto metal or soaked wooden skewers. Heat a griddle or grill until hot, then cook the kebabs until golden on all sides and cooked through.
Meanwhile, mix together the carrots, onion and mint with some seasoning.
Top the flatbreads with the hummus, carrot salad and kebabs. Scatter over the extra mint and serve with yogurt and a drizzle of reserved harissa sauce.",Harissa aubergine kebabs with minty carrot salad,"['2 tbsp harissa paste', '2 tbsp red wine vinegar', '1 aubergine, cut into 4cm cubes', '2 carrots, finely shredded', '1 small red onion, sliced', 'small handful mint, chopped, plus extra leaves to serve', '2 Middle Eastern flatbreads', '2 heaped tbsp hummus', 'Greek yoghurt, to serve']",https://www.bbcgoodfood.com/recipes/2469647/harissa-aubergine-kebabs-with-minty-carrot-salad,"Whip up supper for two in a flash with these vegetarian, North African-inspired skewers with healthy slaw and hummus",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1096464_10.jpg?itok=Z5D1HjGj,10 mins,5
10 mins,"['Vegetarian', 'Healthy']", Easy ,"Cook the beetroots in a pan of boiling water for 5-6 mins until just tender but still with a bite; add the carrots for the final 2 mins. Whisk together the vinegar, mustard, olive oil, chopped mint and sugar, and season.
Put the rice and lentils in a bowl. Add the carrots and beetroots, then pour over the dressing and toss to combine. Transfer to a serving platter and sprinkle over the hazelnuts, feta and mint leaves to serve.",Lentil rice salad with beetroot & feta dressing,"['2 beetroot (use different colours if you like), peeled and cut into wedges', '100g baby carrot', '2 tbsp sherry vinegar', '1 tsp Dijon mustard', '1 tbsp extra-virgin olive oil', 'small bunch mint, few leaves picked and remaining chopped', 'pinch of sugar', '250g pouch cooked basmati rice', '400g can cooked Puy lentils, drained and rinsed', '2 tbsp hazelnut, toasted and roughly chopped', '2 tbsp crumbled feta cheese']",https://www.bbcgoodfood.com/recipes/2360685/lentil-rice-salad-with-beetroot-and-feta-dressing,"Get a healthy dose of folate and fibre in this good for you dish, which uses time saving ready-cooked rice",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1047472_11.jpg?itok=N0hGRZGk,15 mins,4
5 mins,['Vegetarian'], Easy ,"Boil a large pan of salted water. Add the gnocchi, cook for 2 mins or until it rises to the surface, then drain and tip back into the pan with a splash of reserved cooking water.
Add the chargrilled veg, chopped into pieces if large, red pesto and basil leaves. Serve with shavings of Parmesan or pecorino (or vegetarian alternative).",Speedy Mediterranean gnocchi,"['400g gnocchi', '200g chargrilled vegetables (from the deli counter - I used chargrilled peppers, aubergines, artichokes and semi-dried tomatoes)', '2 tbsp red pesto', 'a handful of basil leaves', 'parmesan or pecorino (or vegetarian alternative), to serve']",https://www.bbcgoodfood.com/recipes/speedy-mediterranean-gnocchi,"A super fast, low fat and low calorie meal using chargrilled veg from the deli counter, red pesto, basil and cheese - ready in 5 minutes",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/speedy-mediterranean-gnocchi.jpg?itok=XRAN0YQg,none,4
5 mins,['Vegetarian'], Easy ,"Put the onion, garlic, butter and spices in a microwaveable container, give it a quick stir, then heat in the microwave on High for 30-40 secs. Leave to stand for 1 min, then add the chopped tomatoes, beans, stock cube and chocolate.
Cover with cling film and pierce 3 times. Place some kitchen paper on your microwave turntable, put the container on top and cook for 2 mins on High. Stir well and leave to stand for 1 min. If your chilli starts to dry out, add some of the reserved tomato juice, but remember that it won’t reduce as much in the microwave as it would on the hob.
Cover and cook on Medium for a further 2 mins. Give it a good stir and allow to stand for 1 min before serving topped with soured cream and coriander, if you like.",Microwave chilli,"['½ small onion, finely chopped', '1 fat garlic clove, crushed', 'knob of butter', '½ tsp ground cumin', '½ tsp paprika (sweet or smoked depending on preference)', 'pinch of chilli flakes or chilli powder', '400g can chopped tomatoes, drained and juice reserved', '400g can kidney beans, drained and rinsed', '½ vegetable stock cube', '2 squares dark chocolate', 'soured cream, to serve (optional)', 'coriander, to serve (optional)']",https://www.bbcgoodfood.com/recipes/microwave-chilli,"For a super speedy supper, try Jack Monroe's vegetarian kidney bean chilli - a great way to get 2 of your 5-a-day in this microwavable, midweek meal",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/microwave-chilli.jpg?itok=dJuujf7Q,10 mins,5
20 mins,"['Freezable', 'Healthy', 'Vegetarian']", Easy ,"Heat the oil in a large saucepan, then fry the onion and celery gently for 10 mins until softened, stirring frequently. Tip in the cumin and fry for another min.
Turn up the heat, then add the stock, tomatoes and chickpeas, plus a good grind of black pepper. Simmer for 8 mins. Throw in broad beans and lemon juice, cook for a further 2 mins. Season to taste, then top with a sprinkling of lemon zest and chopped herbs. Serve with flatbread.",Moroccan chickpea soup,"['1 tbsp olive oil', '1 medium onion, chopped', '2 celery sticks, chopped', '2 tsp ground cumin', '600ml hot vegetable stock', '400g can chopped plum tomatoes with garlic', '400g can chickpeas, rinsed and drained', '100g frozen broad beans', 'zest and juice ½ lemon', 'large handful coriander or parsley and flatbread, to serve']",https://www.bbcgoodfood.com/recipes/1499/moroccan-chickpea-soup,Try something different for vegetarians with Moroccan chickpea soup,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--192471_11.jpg?itok=6vDeznHv,5 mins,5
10 mins,['Vegetarian'], Easy ,"Toss the radishes in a bowl with the vinegar, sugar and a pinch of salt. In a separate bowl, mash the avocado with the lime juice, chilli flakes and some seasoning. Toast the bread, then top each slice with a little avocado, half an egg, some pickled radishes and a few more chilli flakes, if you like. ","Boiled egg, avocado & quick pickled radish tartine","['100g mixed radishes, cut into different shapes', '1 tbsp white wine vinegar', 'pinch caster sugar', '1 large avocado', 'juice ½ lime', 'pinch chilli flakes', '4 slices of your favourite bread (we used sourdough)', '2 eggs, soft boiled for 6 mins, then rinsed under cold water, peeled and halved)']",https://www.bbcgoodfood.com/recipes/boiled-egg-avocado-quick-pickled-radish,This light lunch or brunch is 2 of your 5-a-day and will be on the plate in just 20 minutes. Tangy pickled radishes add a layer of crunch and complement the creamy avocado,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/09/boiled-egg-avocado-tartine.jpg?itok=e5867CYD,10 mins,4
15 mins,"['Freezable', 'Vegetarian']", Easy ,"Heat the butter or oil in a large pan, then add the garlic and soften for a few mins over a low heat. Add the sun-dried or SunBlush tomatoes, canned tomatoes, stock, sugar and seasoning, then bring to a simmer. Let the soup bubble for 10 mins until the tomatoes have broken down a little.
Whizz with a stick blender, adding half the pot of soured cream as you go. Taste and adjust the seasoning – add more sugar if you need to. Serve in bowls with 1 tbsp or so of the pesto swirled on top, a little more soured cream and scatter with basil leaves.",Rich tomato soup with pesto,"['1 tbsp butter or olive oil', '2 garlic cloves, crushed', '5 soft sun-dried or SunBlush tomatoes in oil, roughly chopped', '3 x 400g cans plum tomatoes', '500ml turkey or vegetable stock', '1 tsp sugar, any type, or more to taste', '142ml pot soured cream', '125g pot fresh basil pesto', 'basil leaves, to serve']",https://www.bbcgoodfood.com/recipes/5100/rich-tomato-soup-with-pesto,"When you’ve got rich tinned tomatoes and intense, fruity SunBlush tomatoes, there’s no reason not to enjoy homemade tomato soup in the depths of winter.",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--22858_12.jpg?itok=UQ9zhXG8,10 mins,5
35 mins,"['Freezable', 'Healthy', 'Vegetarian', 'Vegan']", Easy ,"Heat 1 tbsp sesame oil in a wide-based pan with a tight-fitting lid.
Add 1 finely chopped red onion and cook over a low heat for 10 mins, stirring occasionally, until softened.
Add 1 crushed garlic clove, a finely chopped thumb-sized piece of ginger and 1 finely chopped red chilli, cook for 1 min, then add 1 ½ tsp ground turmeric and 1 ½ tsp ground cumin and cook for 1 min more.
Turn up the heat to medium, add 2 sweet potatoes, cut into even chunks, and stir everything together so the potato is coated in the spice mixture.
Tip in 250g red split lentils, 600ml vegetable stock and some seasoning. 
Bring the liquid to the boil, then reduce the heat, cover and cook for 20 mins until the lentils are tender and the potato is just holding its shape.
Taste and adjust the seasoning, then gently stir in the 80g spinach. Once wilted, top with the 4 diagonally sliced spring onions and ½ small pack torn basil leaves to serve.
Alternatively, allow to cool completely, then divide between airtight containers and store in the fridge for a healthy lunchbox.","Spinach, sweet potato & lentil dhal","['1 tbsp sesame oil', '1 red onion, finely chopped', '1 garlic clove, crushed', 'thumb-sized piece ginger, peeled and finely chopped', '1 red chilli, finely chopped', '1 ½ tsp ground turmeric', '1 ½ tsp ground cumin', '2 sweet potatoes (about 400g/14oz), cut into even chunks', '250g red split lentils', '600ml vegetable stock', '80g bag of spinach', '4 spring onions, sliced on the diagonal, to serve', '½ small pack of Thai basil, leaves torn, to serve']",https://www.bbcgoodfood.com/recipes/spinach-sweet-potato-lentil-dhal,"A comforting vegan one-pot recipe that counts for 3 of your 5-a-day! You can't go wrong with this iron-rich, low-fat, low-calorie supper",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/03/spinach-sweet-potato-lentil-dhal.jpg?itok=AHK2IyWx,10 mins,5
45 mins,"['Healthy', 'Gluten-free', 'Vegetarian', 'Vegan']", Easy ,"Heat oven to 200C/180C fan/gas 6. Toss the parsnips in 1½ tbsp of the oil, the turmeric, coriander and some seasoning, then sprinkle over the sesame seeds so each piece is well coated. Roast in the oven for 30 mins until tender.
Meanwhile, cook the wild rice following pack instructions. Heat the remaining 1 tbsp oil in a separate pan, then add the sliced onion with 3 tbsp water. Cook for 10-15 mins, stirring occasionally until completely soft. Turn up the heat, add 1 tbsp of the vinegar and cook for a few mins until bright pink.
Whisk the tahini with the remaining vinegar and enough warm water to make a creamy dressing. Season to taste.
Drain the wild rice, then mix through the onions and ¾ of the chopped herbs. Distribute between three plates, then top with the sesame parsnips, pomegranate seeds and the remaining herbs. Serve with the tahini dressing drizzled over.",Sesame parsnip & wild rice tabbouleh,"['500g (5 medium) parsnips, peeled and cut into thumb-sized pieces', '2 ½ tbsp cold pressed rapeseed oil', '1 tsp ground turmeric', '2 tsp ground coriander', '2 tbsp sesame seeds', '130g wild rice', '2 red onions, sliced', '2 tbsp white wine vinegar', '3 tbsp tahini', '1 small pack mint, leaves roughly chopped', '1 small pack coriander, roughly chopped', '2 tbsp pomegranate seeds']",https://www.bbcgoodfood.com/recipes/sesame-parsnip-wild-rice-tabbouleh,"Get your fill of tasty veggies with our easy vegan parsnip & wild rice tabbouleh. Our simple winter salad is full of flavour, filling and 2 of your 5-a-day",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2019/01/parsnip-tabbouleg.jpg?itok=mfpUUgwy,10 mins,5
30 mins,"['Healthy', 'Gluten-free', 'Vegetarian']", Easy ,"Heat oven to 200C/180C fan/gas 6. Put the tomatoes, onion and peppers in a roasting tin, toss with the oil and season. Nestle in the garlic and thyme sprigs, then roast for 25-30 mins until all the veg has softened and slightly caramelised. Squeeze the garlic cloves out of their skins into the tin, strip the leaves off the thyme and discard the stalks and garlic skins. Mix the vinegar into the tin then blend everything in a bullet blender or using a stick blender, adding enough water to loosen to your preferred consistency (we used around 150ml).
Reheat the soup if necessary, taste for seasoning, then spoon into two bowls and top each with a spoonful of ricotta, a few basil leaves, the seeds and a drizzle of oil. Serve with bread for dunking.",Roasted red pepper & tomato soup with ricotta,"['400g tomatoes, halved', '1 red onion, quartered', '2 Romano peppers, roughly chopped', '2 tbsp good quality olive oil', '2 garlic cloves, bashed in their skins', 'few thyme sprigs', '1 tbsp red wine vinegar', '2 tbsp ricotta', 'few basil leaves', '1 tbsp mixed seeds, toasted', 'bread, to serve']",https://www.bbcgoodfood.com/recipes/roasted-red-pepper-tomato-soup-ricotta,"Liven up a tomato soup with a few easy and tasty additions, including a spoonful of ricotta. It's classic comfort food and also a low-calorie, healthy option",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/roasted-red-pepper-tomato-soup-with-ricotta.jpg?itok=56oFQK0N,10 mins,4
50 mins,"['Healthy', 'Vegan']", Easy ,"Heat 2 tbsp of the oil in a large non-stick frying pan or paella pan. Fry the aubergines until nicely coloured on all sides (add another tbsp of oil if the aubergine begins catching too much), then remove and set aside. Add another tbsp of oil to the pan and lightly fry the onion for 2-3 mins or until softened. Add the garlic and parsley stalks, cook for a few mins more, then stir in the spices and rice until everything is well coated. Heat for 2 mins, add half the stock and cook, uncovered, over a medium heat for 20 mins, stirring occasionally to prevent it from sticking.
Nestle the aubergine and artichokes into the mixture, pour over the rest of the stock and cook for 20 mins more or until the rice is cooked through. Chop the parsley leaves, stir through with the lemon juice and season well. Bring the whole pan to the table and spoon into bowls, with the lemon wedges on the side.",Artichoke & aubergine rice,"['60ml olive oil', '2 aubergines, cut into chunks', '1 large onion, finely chopped', '2 garlic cloves, crushed', 'small pack parsley, leaves picked, stalks finely chopped', '2 tsp smoked paprika', '2 tsp turmeric', '400g paella rice', '1½ l Kallo vegetable stock', '2 x 175g packs chargrilled artichokes', '2 lemons 1 juiced, 1 cut into wedges to serve']",https://www.bbcgoodfood.com/recipes/artichoke-aubergine-rice,"As well as being tasty, this aubergine and artichoke is low fat, low calorie and cost effective. Make a large batch and eat it cold the next day",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/06/artichoke-aubergine-rice-recipe-image.jpg?itok=StPhbfud,15 mins,5
35 mins,['Healthy'], Easy ,"Tip the chopped tomatoes and half the stock into a food processor and pulse until smooth. Pour into a saucepan with the remaining stock, bring to a gentle simmer and keep over a low heat.
Meanwhile, place the butter and oil in the base of a large saucepan and heat gently until the butter has melted. Add the onion and gently cook for 6-8 mins until softened. Stir in the garlic and rosemary, then cook for 1 min more. Add the rice and cook, stirring, for 1 min.
Start adding the hot stock and tomato mixture about a quarter at a time. Let the risotto cook, stirring often, adding more stock as it is absorbed. After you have added half the stock, add the cherry tomatoes. After 20-25 mins, the rice should be creamy and tender, the cherry tomatoes softened and all of the stock should be used up.
Cover and leave for 1 min, then stir in the basil. Serve sprinkled with Parmesan and a good grinding of black pepper.",Creamy tomato risotto,"['400g can chopped tomato', '1l vegetable stock', 'knob of butter', '1 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, finely chopped', '1 rosemary sprig, finely chopped', '250g risotto rice', '300g cherry tomato, halved', 'small pack basil, roughly torn', '4 tbsp grated parmesan']",https://www.bbcgoodfood.com/recipes/creamy-tomato-risotto,"A budget rice dish flavoured with rosemary, basil and sweet cherry tomatoes. An ideal midweek supper",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/risotto_1.jpg?itok=PNHwU2B6,5 mins,5
35 mins,"['Freezable', 'Healthy', 'Vegetarian']", Easy ,"Heat the oil in a heavy-bottomed saucepan. Add the onion, celery, pumpkin or squash and carrot and cook until the vegetables have some colour. Add a splash of water and some seasoning, then cover the pan and let the vegetables cook over a very low heat for 5 mins.
Add the garlic and cook for another couple of mins, then add the tomato purée, stock, mixed grains, parmesan rinds, if using, and some seasoning. Simmer for about 15 mins (or until the grains are cooked), adding the beans for the final 5 mins. In the last few mins, add the spinach, then taste for seasoning.
If you want to use sage, fry the leaves whole in a little olive oil before adding to the soup. If you prefer to use parsley, you can just add it directly to the soup. Serve with shavings of parmesan and a drizzle of extra virgin olive oil on top of each bowlful. Remove the parmesan rinds and serve.","Italian borlotti bean, pumpkin & farro soup","['4 tbsp extra virgin olive oil, plus extra to serve', '1 onion, finely chopped', '1 celery stick, cut into chunks', '750g pumpkin or squash, peeled, deseeded and cut into small chunks', '1 carrot, peeled and cut into chunks', '3 garlic cloves, chopped', '3 tbsp tomato purée', '1.2l chicken stock or vegetable stock', '75g farro or mixed grains (such as barley or spelt)', '50-80g parmesan rinds or vegetarian alternative (optional), plus a few shavings to serve', '400g can borlotti beans, drained', '2 handfuls baby spinach', '2 tbsp chopped parsley or 8 whole sage leaves']",https://www.bbcgoodfood.com/recipes/italian-borlotti-bean-pumpkin-farro-soup,"Warm up on chilly evenings with this hearty, healthy bean & pumpkin soup. Serve this low-calorie meal with a chunk of fresh bread for dunking",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2019/01/borlotti-bean-pumpkin-farro-soup.jpg?itok=7zesQV9z,15 mins,5
10 mins,"['Healthy', 'Vegetarian', 'Vegan']", Easy ,"Cook the pasta according to pack instructions – about 10 mins. Meanwhile, put the lime juice and zest in a medium bowl with the avocado, tomatoes, coriander, onion and chilli, if using, and mix well.
Drain the pasta, toss into the bowl and mix well. Serve straight away while still warm, or cold.","Linguine with avocado, tomato & lime","['115g wholemeal linguine', '1 lime, zested and juiced', '1 avocado, stoned, peeled, and chopped', '2 large ripe tomatoes, chopped', '½ pack fresh coriander, chopped', '1 red onion, finely chopped', '1 red chilli, deseeded and finely chopped (optional)']",https://www.bbcgoodfood.com/recipes/linguine-avocado-tomato-lime,Use guacamole ingredients to make this low-calorie vegan linguine which can also be served cold as a pasta salad. It delivers on flavour and it's healthy,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/linguine-with-avocado-tomato-lime.jpg?itok=otGmTsC7,20 mins,4
1 hr,"['Freezable', 'Healthy', 'Gluten-free', 'Vegetarian']", Easy ,"Put the onions, celery and chopped peppers with the oil in your largest flameproof casserole dish or heavy-based saucepan, and fry gently over a low heat until soft but not coloured.
Drain both jars of peppers over a bowl to catch the juices. Put a quarter of the peppers into a food processor with the chipotle paste, vinegar, cocoa, dried spices and herbs. Whizz to a purée, then stir into the softened veg and cook for a few mins.
Add the tomatoes and refried beans with 1 can water and the reserved pepper juice. Simmer for 1 hr until thickened, smoky and the tomato chunks have broken down to a smoother sauce.
At this stage you can cool and chill the sauce if making ahead. Otherwise add the kidney and black beans, and the remaining roasted peppers, cut into bite-sized pieces, then reheat. (This makes a large batch, so once the sauce is ready it might be easier to split it between two pans when you add the beans and peppers.) Once bubbling and the beans are hot, season to taste and serve.",Double bean & roasted pepper chilli,"['2 onions, chopped', '2 celery sticks, finely chopped', '2 yellow or orange peppers, finely chopped', '2 tbsp sunflower oil or rapeseed oil', '2 x 460g jars roasted red peppers', '2 tsp chipotle paste', '2 tbsp red wine vinegar', '1 tbsp cocoa powder', '1 tbsp dried oregano', '1 tbsp sweet smoked paprika', '2 tbsp ground cumin', '1 tsp ground cinnamon', '2 x 400g cans chopped tomatoes', '400g can refried beans', '3 x 400g cans kidney beans, drained and rinsed', '2 x 400g cans black beans, drained and rinsed']",https://www.bbcgoodfood.com/recipes/double-bean-roasted-pepper-chilli,"This warming vegetarian chilli is a low-fat, healthy option that packs in the veggies and flavour. Serve with Tabasco sauce, soured cream or yogurt",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/11/chilli.jpg?itok=WBfgJnpV,30 mins,5
40 mins,"['Cauliflower & squash base only', 'Healthy', 'Gluten-free', 'Vegetarian']", Easy ,"Heat oven to 180C/160C fan/gas 4. Toss the cauliflower and squash in oil and spread it out on a large oven tray. Roast for 25 mins, or until tender. If you're making the base ahead of time, you can leave it to cool at this stage then freeze in an airtight container for up to a month. (Defrost fully before using in the next step.)
Put the flour in a bowl and gradually stir in 125-150ml water to make a batter as thick as double cream. Stir in the turmeric and cumin and some seasoning. Break up the cauliflower and squash a little and mix it gently into the batter. Add the coriander, if using.
Heat a little oil in a frying pan and when it is hot, drop 2 heaped tbsps of the mixture into the pan, spaced apart. Fry until the fritters are dark golden, about 2-3 mins each side. Remove, keep warm and repeat with the remaining batter.
Mix the yogurt with the garlic, feta and mint. Serve the fritters with the mint & feta dip, some salad and pitta breads.",Cauliflower & squash fritters with mint & feta dip,"['100g gram (chickpea) flour', '1 tsp turmeric', '1 tsp ground cumin', 'small bunch coriander, finely chopped (optional)', 'oil, for shallow frying', '150g natural yogurt', '1 garlic clove, crushed', '75g vegetarian feta, mashed', '2 tbsp finely chopped mint', 'pitta breads and salad, to serve', '1 cauliflower, split into florets, the stalk cut into cubes', '½ large butternut squash, cut into cubes', '1 tbsp oil']",https://www.bbcgoodfood.com/recipes/cauliflower-squash-fritters-mint-feta-dip,"Roast the veg on a quiet day and freeze it, then later in the week you can use it to whip up these healthy, gluten-free fritters in just half an hour",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/08/cauliflower-squash-fritters-with-mint-feta-dip.jpg?itok=gSmTnTrA,30 mins,5
1 hr,"['Freezable', 'Healthy', 'Gluten-free', 'Vegetarian']", Easy ,"Soak the toor dhal for about 40 mins, then rinse well. Put it in a large heavy-bottomed saucepan with the turmeric, tomatoes, ginger, garlic and chillies. Add 1.7 litres of water and bring to the boil. Turn the heat down low and cook until you have a thick purée, adding water if it gets too dry. Dhal can be quite soupy or quite thick, depending on how you like it. Simply reduce it to thicken it, or add water to thin it. Season to taste.
When the dhal is at a thickness you like, add the tamarind, chilli powder (unless it’s already hot enough), and the ground coriander and check the seasoning.
Tempering is the last phase for a dhal. Heat the oil or ghee in a frying pan and add the cumin seeds. Cook over a medium heat for about 30 secs, then add the garlic and cook for about 10 secs (the garlic should eventually become golden but not brown so don’t overdo it at this point), then add the dried chillies and the curry leaves, if using. Fry until the dried chillies have changed colour slightly and the curry leaves are crisp. Pour this over the dhal and stir. Cover and leave to sit for a few mins before serving.",Khatti dhal,"['430g toor dhal or red split lentils', '½ tsp turmeric', '2 large tomatoes, chopped (better if you remove the skin but not essential)', '5cm piece ginger, peeled and grated', '2 garlic cloves, crushed or grated', '2 green chillies, chopped (deseeded if you don’t like it very hot)', '2 tbsp tamarind paste', '1 tsp hot chilli powder', '2 tsp ground coriander', '2 tbsp oil or ghee (or a mixture of oil and unsalted butter)', '½ tsp cumin seeds', '8 garlic cloves, sliced', '3 dried chillies (I use Kashmiri), roughly broken', '12 curry leaves, fresh or frozen (optional)']",https://www.bbcgoodfood.com/recipes/khatti-dhal,"Serve this tasty, healthy dhal as a vegetarian main meal or side dish. Adding tamarind to the lentils delivers fabulous sweet and sour flavour",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/08/khatti-dhal.jpg?itok=rD783wCt,15 mins,5
5 mins,"['Healthy', 'Gluten-free', 'Vegetarian']", Easy ,"Bring a pan of water to the boil, lower in the eggs and boil for 8 mins. Drain and run under the cold tap to cool them a little, then peel and halve. Meanwhile, mix 1 tbsp lemon juice and 3 tbsp water with the tahini to make a dressing.
Heat the oil and fry the onion and garlic for 5 mins to soften them. Add the ground cumin and seeds, stir briefly then add the beans and lightly crush some of them as you heat them, adding some of the juice from the can to get a nice creamy consistency but keeping whole beans, too. Taste and add lemon juice and just a little seasoning if you need to.
Spoon the beans on to plates with the lettuce, then add the eggs and tomatoes, with the tahini dressing, chilli and parsley, if using.",Egyptian egg salad,"['2 large eggs', '1 lemon, juiced', '1 tbsp tahini', '1 tbsp rapeseed oil', '1 red onion, chopped', '3 large garlic cloves, finely chopped', '1 tsp ground cumin', '½ tsp cumin seeds', '400g can borlotti or fava beans, juice reserved', '2 Little Gem lettuces cut into wedges', '2 tomatoes, cut into wedges', 'sprinkling of dried chilli flakes and roughly chopped flat-leaf parsley, optional']",https://www.bbcgoodfood.com/recipes/egyptian-egg-salad,"Give salad a shake-up with an Egyptian-inspired recipe that combines fava beans with egg and the rich flavours of tahini, garlic, lemon and cumin",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/07/egyptian-egg-salad.jpg?itok=NaDM-hM_,10 mins,5
15 mins,"['Healthy', 'Gluten-free', 'Vegetarian', 'Vegan']", Easy ,"Put the lime zest and juice, mango, avocado, tomatoes, chilli and onion in a bowl, stir through the coriander and beans.",Guacamole & mango salad with black beans,"['1 lime, zested and juiced', '1 small mango, stoned, peeled and chopped', '1 small avocado, stoned, peeled and chopped', '100g cherry tomatoes, halved', '1 red chilli, deseeded and chopped', '1 red onion, chopped', '½ small pack coriander, chopped', '400g can black beans, drained and rinsed']",https://www.bbcgoodfood.com/recipes/guacamole-mango-salad-black-beans,"Get four of your five-a-day with this healthy salad of mango, avocado and beans. It's a nutritional powerhouse that's also vegan and gluten free",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/05/guacamole-mango-salad-with-black-beans.jpg?itok=BS-Dn0qX,none,4
